,Author,Title,Type of Ban,Secondary Author(s),Illustrator(s),Translator(s),State,District,Date of Challenge/Removal,Origin of Challenge,libraries
2414,"Volponi, Paul",Crossing Lines,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2415,"von Ziegesar, Cecily",Gossip Girl: A Novel by Cecily von Ziegesar (Gossip Girl Series),Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2422,"Walden, Tillie",Spinning,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2430,"Walls, Jeannette",The Glass Castle,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2437,"Walton, K. M.",Empty,Banned in Libraries and Classrooms,,,,Florida,Indian River County School District,November 2021,Administrator,True
2438,"Wang, Jen",The Prince and the Dressmaker,Banned in Libraries and Classrooms,,,,Idaho,Nampa School District,May 2022,Administrator,True
2445,"Watson, Renée",Piecing Me Together,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
2454,"Wersba, Barbara",Whistle Me Home,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2459,"Westerfeld, Scott",Uglies (Uglies Series),Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
2460,"Weyer, Hannah","On the Come Up: A Novel, Based on a True Story",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2464,"Whitcomb, Laura",A Certain Slant of Light,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
2466,"White, Kiersten",The Dark Descent of Elizabeth Frankenstein,Banned in Libraries,,,,Oklahoma,Bristow Public Schools,October 2021,Administrator,True
2473,"Wilkinson, Lili",Pink,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2476,"Williams, David",The Boy in the Dress,Banned in Libraries,,"Blake, Quentin",,Florida,Sarasota County School,October 2021,Formal Challenge,True
2481,"Wilson, Lakita",What Is Black Lives Matter? (What was...? Series),Banned in Libraries and Classrooms,,"Copeland, Gregory",,Florida,Indian River County School District,November 2021,Administrator,True
2486,"Winfield, Cynthia L.",Gender Identity: The Ultimate Teen Guide,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2490,"Wittlinger, Ellen",Parrotfish,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2498,"Woodson, Jacqueline",Beneath a Meth Moon: An Elegy,Banned in Libraries,,,,Florida,Lee County Schools,May 2022,Administrator,True
2510,"Worth, Richard","Life at School and in the Community (Teens: Being Gay, Lesbian, Bisexual, or Transgender)",Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2512,"Wright, Bil",Putting Makeup on the Fat Boy,Banned in Libraries,,,,Texas,North East Independent School District,December 2021,Administrator,True
2515,"Yang, Gene Luen",American Born Chinese,Banned in Libraries,,,,Mississippi,Madison County Schools,April 2022,Administrator,True
2530,"Zoboi, Ibi",Black Enough: Stories of Being Young & Black in America,Banned in Libraries,,,,Florida,Indian River County School District,November 2021,Administrator,True
